,Unnamed: 0,Observed,Simulated
388,388,32.1,33.926088117417144
389,389,30.9,33.398431178110016
390,390,31.1,32.96108158208012
391,391,32.1,32.57629635136209
392,392,31.7,32.20028855738019
393,393,31.3,31.76497270776421
394,394,32.3,31.743325107186006
395,395,31.9,31.520185205961155
396,396,30.0,31.286167966857164
397,397,29.4,31.05715393489352
398,398,29.3,30.842015345851127
399,399,30.0,30.60138399785304
400,400,29.8,30.423523257649823
401,401,29.4,30.33491206706589
402,402,30.2,30.21039795479586
403,403,29.8,30.067889756213003
404,404,29.4,30.023973928216662
405,405,28.7,29.914062960887893
406,406,28.2,29.8810913075073
407,407,27.8,29.78118880048177
408,408,28.0,31.60863612477873
409,409,34.6,31.49918619453105
410,410,29.2,31.0427976766732
411,411,28.9,30.73903698492661
412,412,28.9,30.394356524203253
413,413,28.2,30.41828475791632
414,414,27.5,30.451771326971794
415,415,27.7,30.368867857292656
416,416,27.3,30.47491184200341
417,417,27.1,30.292353434027195
418,418,27.5,30.19473224214404
419,419,27.0,30.017177041308173
420,420,26.8,29.96152522796954
421,421,26.6,29.925963992049155
422,422,32.1,30.86043295883164
423,423,27.3,31.13275037604189
424,424,26.6,30.627362346160417
425,425,27.1,30.534680252711063
426,426,27.3,30.39309685632045
427,427,27.0,30.784811965412672
428,428,28.9,30.665711628807863
429,429,26.8,31.427250769730733
430,430,27.3,30.815060362780255
431,431,27.7,31.18816894280992
432,432,27.0,31.365043500144417
433,433,26.3,30.83404745203697
434,434,26.5,30.598023746819717
435,435,26.8,30.500817215506533
436,436,26.8,30.48895028472109
437,437,27.8,30.4341359766126
438,438,28.4,30.50048712386859
439,439,29.1,30.515654971033435
440,440,33.9,30.46293579001534
441,441,29.6,30.558605076386545
442,442,28.5,30.547556554620787
443,443,29.2,30.327047156386712
444,444,29.6,30.425122565275792
445,445,28.7,30.488197348422972
446,446,34.0,30.754744982044446
447,447,30.2,30.645479193826198
448,448,29.1,30.70442919551416
449,449,50.9,33.36705746834036
450,450,36.1,32.33738707234293
451,451,34.6,33.71859415062613
452,452,31.5,33.070998005469015
453,453,31.7,32.63346835945479
454,454,29.4,32.43067751649691
455,455,29.8,32.136178486823106
456,456,29.1,31.86062835398509
457,457,32.5,31.59276580987199
458,458,36.6,31.77856375355113
459,459,36.7,31.545685466999533
460,460,32.9,31.359159139292878
461,461,36.9,31.85492404311788
462,462,41.3,31.86625628001046
463,463,43.7,32.157189774388506
464,464,44.1,32.305117204696714
465,465,44.3,33.45862379749287
466,466,41.2,33.88546774974007
